title,series,remakes,year,mpaa,runtime,language,director,firstCredit,secondCredit,imdbRating,rtRating,metaRating,action,adventure,animation,biography,comedy,crime,documentary,drama,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,western
Hustlers,NA,NA,2019,R,104,English,Lorene Scafaria,Constance Wu,Jennifer Lopez,0.63,0.87,0.79,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ratatouille,NA,NA,2007,G,111,English,Brad Bird,Brad Garrett,Lou Romano,0.8,0.96,0.96,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode III - Revenge of the Sith,Star Wars,NA,2005,PG-13,140,English,George Lucas,Hayden Christensen,Natalie Portman,0.65,0.8,0.54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Big Sick,NA,NA,2017,R,120,English,Michael Showalter,Kumail Nanjiani,Zoe Kazan,0.75,0.98,0.96,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Despicable Me,Despicable Me,NA,2010,PG,95,English,Pierre Coffin,Steve Carell,Jason Segel,0.76,0.81,0.72,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story,Toy Story,NA,1995,G,81,English,John Lasseter,Tom Hanks,Tim Allen,0.83,1,0.95,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 2,Toy Story,NA,1999,G,95,English,John Lasseter,Tom Hanks,Tim Allen,0.79,1,0.88,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3,Toy Story,NA,2010,G,108,English,Lee Unkrich,Tom Hanks,Tim Allen,0.83,0.98,0.92,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 4,Toy Story,NA,2019,G,100,English,Josh Cooley,Tom Hanks,Tim Allen,0.78,0.97,0.84,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lincoln Lawyer,NA,NA,2011,R,120,English,Brad Furman,Matthew McConaughey,Marisa Tomei,0.73,0.83,0.63,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Harry Potter and the Philosopher's Stone,Harry Potter,NA,2001,PG,159,English,Chris Columbus,Daniel Radcliffe,Rupert Grint,0.76,0.81,0.64,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Chamber of Secrets,Harry Potter,NA,2002,PG,174,English,Chris Columbus,Daniel Radcliffe,Rupert Grint,0.74,0.82,0.63,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Prisoner of Azkaban,Harry Potter,NA,2004,PG,142,English,Alfonso Cuaron,Daniel Radcliffe,Emma Watson,0.79,0.9,0.82,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,Harry Potter,NA,2005,PG-13,157,English,Mike Newell,Daniel Radcliffe,Emma Watson,0.77,0.88,0.81,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kill Bill: Volume 2,Kill Bill,NA,2004,R,153,English,Quentin Tarantino,Uma Thurman,David Carradine,0.8,0.84,0.83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Spy,NA,NA,2015,R,120,English,Paul Feig,Melissa McCarthy,Rose Byrne,0.7,0.95,0.75,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monty Python and the Holy Grail,NA,NA,1975,PG,92,English,Terry Gilliam,Graham Chapman,John Cleese,0.82,0.97,0.91,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Julie & Julia,NA,NA,2009,PG-13,123,English,Nora Ephron,Amy Adams,Meryl Streep,0.7,0.77,0.66,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Django Unchained,NA,NA,2012,R,165,English,Quentin Tarantino,Jamie Foxx,Christoph Waltz,0.84,0.87,0.81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Inglorious Basterds,NA,NA,2009,R,153,English,Quentin Tarantino,Brad Pitt,Melanie Laurent,0.83,0.89,0.69,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Devil Wears Prada,NA,NA,2006,PG-13,110,English,David Frankel,Anne Hathaway,Meryl Streep,0.69,0.75,0.62,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"The Good, the Bad, and the Ugly",Dollars Trilogy,NA,1966,R,238,English,Sergio Leone,Clint Eastwood,Eli Wallach,0.88,0.97,0.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Deadpool 2,Deadpool,NA,2018,R,134,English,David Leitch,Ryan Reynolds,Josh Brolin,0.77,0.83,0.66,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepwater Horizon,NA,NA,2016,PG-13,107,English,Peter Berg,Mark Wahlberg,Kurt Russell,0.71,0.83,0.68,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Battle of the Sexes,NA,NA,2017,PG-13,122,English,Jonathan Dayton,Emma Stone,Steve Carell,0.67,0.85,0.73,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
